Time Elapsed (seconds),,,,,
n,t,Run 1,Run 2,Run 3,Average Runtime (seconds)
4000,2,0.0143,0.0166,0.0188,0.0166
4000,4,0.0133,0.0136,0.0146,0.0139
4000,8,0.0139,0.0150,0.0140,0.0143
4000,16,0.0147,0.0140,0.0146,0.0144
8000,2,0.0582,0.0582,0.0571,0.0578
8000,4,0.0481,0.0491,0.0480,0.0484
8000,8,0.0462,0.0501,0.0509,0.0491
8000,16,0.0556,0.0584,0.0571,0.0571
16000,2,0.2586,0.2595,0.2482,0.2554
16000,4,0.2158,0.2213,0.1807,0.2059
16000,8,0.1809,0.1803,0.1805,0.1806
16000,16,0.1887,0.1895,0.1891,0.1891
